België;;;Brussel;;;Vlaanderen;;;Wallonië;;
1;Thomas;14935;1;Mohamed;4058;1;Thomas;7327;1;Maxime;6380
2;Lucas;12217;2;Adam;2803;2;Robbe;6391;2;Thomas;6363
3;Louis;11644;3;Rayan;1476;3;Jonas;5534;3;Nathan;6301
4;Nathan;10987;4;Alexandre;1411;4;Wout;5248;4;Lucas;6054
5;Maxime;10155;5;Ayoub;1366;5;Milan;5091;5;Louis;5896
6;Noah;10098;6;Mehdi;1280;6;Seppe;5048;6;Hugo;5814
7;Arthur;9980;7;Nicolas;1257;7;Lucas;5007;7;Nicolas;5584
8;Nicolas;9030;8;Thomas;1245;8;Louis;4859;8;Antoine;5158
9;Simon;8750;9;Gabriel;1239;9;Ruben;4805;9;Noah;4969
10;Mohamed;8445;10;Nathan;1231;10;Lars;4793;10;Théo;4968
11;Robin;7386;11;Maxime;1213;11;Senne;4587;11;Alexandre;4913
12;Tom;7334;12;Lucas;1156;12;Kobe;4583;12;Romain;4710
13;Victor;7133;13;David;1153;13;Arthur;4565;13;Tom;4499
14;Hugo;6903;14;Bilal;1078;14;Robin;4466;14;Arthur;4370
15;Alexandre;6891;15;Hamza;1063;15;Simon;4440;15;Julien;4095
16;Robbe;6427;15;Yassine;1063;16;Jens;4391;16;Simon;3615
17;Antoine;6409;17;Arthur;1045;17;Arne;4389;17;Guillaume;3372
18;Dylan;6263;18;Anas;1042;18;Daan;4337;18;Florian;3268
19;Jonas;6255;19;Zakaria;993;19;Alexander;4315;19;Adrien;3239
20;Adam;6132;20;Ilias;912;20;Noah;4232;20;Martin;3170
21;Liam;5806;21;Noah;897;21;Jasper;4130;21;Ethan;3100
22;Théo;5682;22;Louis;889;22;Liam;4088;22;Quentin;3087
23;Mathis;5626;23;Victor;871;23;Niels;3930;23;Loïc;2953
24;Julien;5622;24;Youssef;870;24;Victor;3845;24;Dylan;2884
25;Romain;5554;25;Ibrahim;868;25;Maxim;3577;25;Gabriel;2872
